Pais de Proveniencia,Aduana de Ingreso, Fecha de la Poliza,Partida Arancelaria,Modelo del Vehiculo,Marca,Linea,Centimetros Cubicos,Distintivo,Tipo de Vehiculo,Tipo de Importador,Tipo Combustible,Asientos,Puertas,Tonelaje,Valor CIF,Impuesto;
CHINA,PUERTO QUETZAL,06/03/2019, 8711209000,2019,SUZUKI,GN125F,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,612292.04,73475.04,;
CHINA,PUERTO QUETZAL,06/03/2019, 8711209000,2019,SUZUKI,GN125F,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,612292.04,73475.04,;
CHINA,PUERTO QUETZAL,06/03/2019, 8711209000,2019,SUZUKI,GN125F,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,612292.04,73475.04,;
CHINA,PUERTO QUETZAL,06/03/2019, 8711209000,2019,SUZUKI,GN125F,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,612292.04,73475.04,;
CHINA,PUERTO QUETZAL,06/03/2019, 8711209000,2019,SUZUKI,GN125F,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,612292.04,73475.04,;
CHINA,PUERTO QUETZAL,06/03/2019, 8711209000,2019,SUZUKI,GN125F,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,612292.04,73475.04,;
CHINA,PUERTO QUETZAL,06/03/2019, 8711209000,2019,SUZUKI,GN125F,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,612292.04,73475.04,;
CHINA,PUERTO QUETZAL,06/03/2019, 8711209000,2019,SUZUKI,GN125F,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,612292.04,73475.04,;
CHINA,PUERTO QUETZAL,06/03/2019, 8711209000,2019,SUZUKI,GN125F,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,612292.04,73475.04,;
CHINA,PUERTO QUETZAL,06/03/2019, 8711209000,2019,SUZUKI,GN125F,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,612292.04,73475.04,;
JAPON,EL CARMEN,08/02/2019, 8703237900,2006,TOYOTA,RAV4 4WD,2400,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,29525.71,3543.09,;
JAPON,TECUN UMAN,09/02/2019, 8704315100,1986,TOYOTA,DLX REGULAR CAB 4X4,2400,LIVIANO,PICK UP,OCASIONAL,GASOLINA,3,2,1,18448.33,2213.8,;
ESTADOS UNIDOS,TECUN UMAN,13/02/2019, 8703236900,2000,HONDA,CIVIC EX,1600,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,2,0,10684.93,1282.19,;
JAPON,EL CARMEN,17/02/2019, 8703237900,2010,NISSAN,ROGUE SL 2WD,2500,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,17897.3,2147.68,;
JAPON,EL CARMEN,17/02/2019, 8703237900,1997,TOYOTA,4RUNNER 2WD,2700,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,22284.58,2674.15,;
ALEMANIA REP. FED.,EL CARMEN,17/02/2019, 8703236900,2013,VOLKSWAGEN,GTI,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,2,0,31569.82,3788.38,;
